split,contract_title,paragraph_index,chunk_id,start_char,end_char,word_count,chunk_text,fully_contained_categories,fully_contained_span_count,overlapping_categories,overlapping_span_count
train,PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3,0,0,0,2500,341,"APPENDIX C SAMPLE OF NON-DISCLOSURE AND NON-COMPETITION AGREEMENT (BETWEEN FRANCHISEE AND ITS PERSONNEL) THIS SAMPLE OF NON-DISCLOSURE AND NON-COMPETITION AGREEMENT ( ""Agreement"")  is  made this  _____ day of _________, 20___, by and between ___________________________ (the ""Franchisee""), and ___________________________, who is an officer, director, or employee of Franchisee (the ""Member""). RECITALS: WHEREAS, __________________ (""Franchisor"") has developed a distinctive set of specifications and operating procedures (collectively, the ""System"") for the operation of ""Pizza Fusion"" restaurant businesses (""Franchised Businesses""). WHEREAS, Franchisor and Franchisee have executed a Franchise Agreement (""Franchise Agreement"") granting Franchisee the right to operate a Franchised Business under the terms and conditions of the Franchise Agreement; WHEREAS, the Member, by virtue of his or her position with Franchisee, will gain access to certain of Franchisor's Confidential Information, as defined herein, and must therefore be bound by the same confidentiality and non-competition agreement that Franchisee is bound by. IN CONSIDERATION of these premises, the conditions stated herein, and for other good and valuable consideration, the sufficiency and receipt of which are hereby acknowledged, the parties agree as follows: 1. Confidential Information. Member shall not, during the term of the Franchise Agreement or thereafter, communicate, divulge or use, for any purpose other than the operation of the Franchised Business, any confidential information, knowledge, trade secrets or know-how which may be communicated to Member or which Member may learn by virtue of Member's relationship with Franchisee. All information, knowledge and know-how relating to Franchisor, its business plans, Franchised Businesses, or the System (""Confidential Information"") is deemed confidential, except for information that Member can demonstrate came to Member's attention by lawful means prior to disclosure to Member; or which, at the time of the disclosure to Member, had become a part of the public domain. 2. Covenants Not to Compete. (a) Member specifically acknowledges that, pursuant to the Franchise Agreement, and by virtue of its position with Franchisee, Member will receive valuable specialized training and Confidential Information, including, without limitation, information regarding the operational, sales, promotional, and marketing methods and techniques of Franchisor and the System. ",Agreement Date | Document Name | Parties,5,Agreement Date | Document Name | Parties,5
train,PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3,0,1,2110,3278,169,"Covenants Not to Compete. (a) Member specifically acknowledges that, pursuant to the Franchise Agreement, and by virtue of its position with Franchisee, Member will receive valuable specialized training and Confidential Information, including, without limitation, information regarding the operational, sales, promotional, and marketing methods and techniques of Franchisor and the System. (b) Member covenants and agrees that during the term of the Franchise Agreement, except as otherwise approved in writing by Franchisor, Member shall not, either directly or indirectly, for itself, or through, on behalf of, or in conjunction with any person, persons, partnership, corporation, or entity: (i) Own, manage, engage in, be employed by, advise, make loans to, consult for, rent or lease to, or have any other interest in business that (directly or indirectly) operates, or grants franchises or licenses to operate, a restaurant featuring pizza and related food specialties or that offers products or services substantially similar to those then offered by Pizza Fusions Restaurants (""Competitive Business""); C - 1

Source: PF HOSPITALITY GROUP INC., 10-12G, 9/23/2015",No-Solicit Of Customers | No-Solicit Of Employees | Non-Compete,3,No-Solicit Of Customers | No-Solicit Of Employees | Non-Compete,3
train,PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3,0,2,2929,5220,349,"in business that (directly or indirectly) operates, or grants franchises or licenses to operate, a restaurant featuring pizza and related food specialties or that offers products or services substantially similar to those then offered by Pizza Fusions Restaurants (""Competitive Business""); C - 1

Source: PF HOSPITALITY GROUP INC., 10-12G, 9/23/2015





(ii) Divert or attempt to divert any business or customer, or potential business or customer, to any Competitive Business; or (iii) Induce any person to leave his or her employment with Franchisee or Franchisor. (c) Member covenants and agrees that during the Post-Term Period (defined below), except as otherwise approved in writing by Franchisor, Member shall not, either directly or indirectly, own, manage, engage in, be employed by, advise, make loans to, consult for, or have any other interest in any Competitive Business that is, or intends to operate, within a three (3) mile radius of the premises of your Franchised Business or within a three (3) mile radius of any Franchised Business then-operating or under construction to operate under the System. (d) As used in this Agreement, the term ""Post-Term Period"" shall mean a continuous uninterrupted period of two (2) years from the date of: (a) a transfer permitted under Section 14 of the Franchise Agreement; (b) expiration or termination of the Franchise Agreement (regardless of the cause for termination); (c) termination of Member's employment with Franchisee; and/or (d) a final order of a duly authorized arbitrator, panel of arbitrators, or a court of competent jurisdiction (after all appeals have been taken) with respect to any of the foregoing or with respect to the enforcement of this Agreement; either directly or indirectly (through, on behalf of, or in conjunction with any persons, partnership, corporation or entity). 3. Injunctive Relief. Member acknowledges that any failure to comply with the requirements of this Agreement will cause Franchisor irreparable injury, and Member agrees to pay all court costs and reasonable attorney's fees incurred by Franchisor in obtaining specific performance of, or an injunction against violation of, the requirements of this Agreement. 4. Severability. All agreements and covenants contained herein are severable. ",No-Solicit Of Customers | No-Solicit Of Employees | Non-Compete,3,No-Solicit Of Customers | No-Solicit Of Employees | Non-Compete,4
train,PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3,0,3,4861,6772,305,"requirements of this Agreement will cause Franchisor irreparable injury, and Member agrees to pay all court costs and reasonable attorney's fees incurred by Franchisor in obtaining specific performance of, or an injunction against violation of, the requirements of this Agreement. 4. Severability. All agreements and covenants contained herein are severable. If any of them, or any part or parts of them, shall be held invalid by any court of competent jurisdiction for any reason, then the Member agrees that the court shall have the authority to reform and modify that provision in order that the restriction shall be the maximum necessary to protect Franchisor's and/or Franchisee's legitimate business needs as permitted by applicable law and public policy. In so doing, the Member agrees that the court shall impose the provision with retroactive effect as close as possible to the provision held to be invalid. 5. Delay. No delay or failure by the Franchisor or Franchisee to exercise any right under this Agreement, and no partial or single exercise of that right, shall constitute a waiver of that or any other right provided herein, and no waiver of any violation of any terms and provisions of this Agreement shall be construed as a waiver of any succeeding violation of the same or any other provision of this Agreement. 6. Third-Party Beneficiary. Member hereby acknowledges and agrees that Franchisor is an intended third-party beneficiary of this Agreement with the right to enforce it, independently or jointly with Franchisee. C - 2

Source: PF HOSPITALITY GROUP INC., 10-12G, 9/23/2015





IN WITNESS WHEREOF, the Franchisee and the Member attest that each has read and understands the terms of this Agreement, and voluntarily signed this Agreement on the date first written above. FRANCHISEE MEMBER By: By: Name: Name: Title: Title: C - 3

Source: PF HOSPITALITY GROUP INC., 10-12G, 9/23/2015",Third Party Beneficiary,1,Third Party Beneficiary,1
train,CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,0,0,0,2145,292,"CONFIDENTIAL TREATMENT - REDACTED VERSION

                                   CORIO INC.

                          LICENSE AND HOSTING AGREEMENT

         This License and Hosting Agreement (the ""AGREEMENT"") is made and entered into as of December 13, 1999 (""EFFECTIVE DATE"") by and between Corio Inc., a Delaware corporation, having its principal place of business at 700 Bay Road, Suite 210, Redwood City, CA 94063 (""CORIO"") and Changepoint, Inc., a Delaware corporation having a place of business at 1595 Sixteenth Ave., Suite 700, Richmond Hill, Ontario, Canada L4B 3N9 (""CHANGEPOINT"").

                                   BACKGROUND

A.       Changepoint is the owner or has the right to license certain          proprietary software products (the ""SOFTWARE"" as further defined          below); and

B.       Corio wishes to obtain a license to use and host the Software on the          terms and conditions set forth herein in connection with the hosting          services that Corio will provide to its Customers (as defined below)          and Changepoint wishes to grant Corio such a license on such terms;

C.       The parties further wish to jointly market and promote the other          party's software and/or services as well as provide support services to          Corio and its Customers in accordance with this Agreement.

         NOW, THEREFORE, for good and valuable consideration, the parties hereby agree as follows:

1.       DEFINITIONS.

The following terms shall have the following meanings:

1.1      ""SOFTWARE USER"" means a named user of the Corio Services worldwide to          whom a user identification number and password has been assigned, which          permits that user to access and use the Software on a designated Corio          Server. The identification number and password used by a Software User          is reusable and reassignable and may be used and transferred by Corio,          in accordance with the licenses granted below, between Customers as one          Customer discontinues the Corio Services and another Customer          subscribes.

1.2      ""ASP"" means Application Service Provider.",Agreement Date | Document Name | Effective Date | Parties | Source Code Escrow,8,Agreement Date | Document Name | Effective Date | Parties | Source Code Escrow,8
train,CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,0,1,1755,4470,359,"Corio          Server. The identification number and password used by a Software User          is reusable and reassignable and may be used and transferred by Corio,          in accordance with the licenses granted below, between Customers as one          Customer discontinues the Corio Services and another Customer          subscribes.

1.2      ""ASP"" means Application Service Provider.

1.3      ""APPLICATION MANAGEMENT REVENUE"" means all revenue Corio receives from          Customers for use of the Software and basic support of the Software          provided at no additional charge to Customers (Level 1 and Level 2          support as defined in Exhibit C hereto), operational support of the          Software and basic infrastructure support (hardware, database and          operating system) for the Software, less taxes, freight, insurance,          refunds or credits and other non-product items.

1.4      ""CORIO SERVERS"" means the unlimited number of computer servers owned or          operated by or for Corio in North America which will contain the          installed Software (as defined below) for access by Customers in          connection with the Corio Services.

1.5      ""CORIO SERVICES"" means the hosting services offered by Corio to its          Customers in which Corio allows Customers to access the Corio Servers.

                                       1

1.6      ""CUSTOMER(S)"" means one or more customers of the Corio Services having          its principal executive offices in North America who obtains a          sublicense from Corio to use the Software by accessing one or more          Corio Servers.

1.7      ""DEMONSTRATION SOFTWARE"" means copies of the Software which are for          demonstration purposes only and which contain sample data and          transactions.

1.8      ""DOCUMENTATION"" means any on-line help files or written instruction          manuals regarding the use of the Software.

1.9      ""RELATIONSHIP MANAGERS"" means the appointed employee of each party, as          set forth on EXHIBIT A attached hereto and made a part hereof, who          shall be the primary contact for implementing and administering the          terms and conditions of this Agreement.

1.10     ""SOFTWARE"" means Changepoint's proprietary software described in          EXHIBIT A attached hereto and made a part hereof, in object code form          only, and any Updates or Upgrades (as defined below) thereto. The          Software shall also include any Application Programming Interfaces          (""API"") provided by Changepoint to Corio, but such API intellectual          property shall not be sublicenseable to Customers.

1.11     ""TERRITORY"" means throughout the world.",,0,,0
train,CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,0,2,4093,5582,203,"made a part hereof, in object code form          only, and any Updates or Upgrades (as defined below) thereto. The          Software shall also include any Application Programming Interfaces          (""API"") provided by Changepoint to Corio, but such API intellectual          property shall not be sublicenseable to Customers.

1.11     ""TERRITORY"" means throughout the world.





1.12     ""UPDATE(S)"" means any error corrections, bug fixes, modifications or          enhancements to the Software made generally available by Changepoint to          its licensees, which are indicated by a change in the numeric          identifier to the Software in the digit to the right of the decimal, or          any error corrections, bug fixes, modifications or enhancements of the          Software.

1.13     ""UPGRADE(S)"" means a release, function or version of the Software          designated as such by Changepoint which contains new features or          significant functional enhancements to the Software, which are          indicated by a change in the numeric identifier for the Software in the          digit to the left of the decimal, which Upgrade is provided to          Changepoint's installed customer base for the Software. For the          purposes of this Agreement, ""Software Support and Maintenance"" means          those services listed in Section 5.3 of this Agreement and EXHIBIT C          and the provision of Updates and Upgrades as called for by this          Agreement.",,0,,0
train,CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,0,3,5219,7638,306,"the decimal, which Upgrade is provided to          Changepoint's installed customer base for the Software. For the          purposes of this Agreement, ""Software Support and Maintenance"" means          those services listed in Section 5.3 of this Agreement and EXHIBIT C          and the provision of Updates and Upgrades as called for by this          Agreement.

1.14     ""PSA APPLICATION"" means a commercially available suite or collection of          integrated proprietary software applications marketed as a suite or a          combination of software products which offer substantially the          following functionality specifically designed for information          technology professional services users : (i) time and expense, which          allows users to enter and modify time and expenses associated with a          project/task for a time period, approve time and expenses entered, and          determine who has submitted time and expense reports, (ii) project          accounting and billing, which allows users to apply cost and billing          rates to time entered for projects, generate client invoices based on          terms and conditions of engagement, track amounts billed and earned for          each project, feed invoice data to an accounts receivables system, and          feed cost and billing accounting entries to a general ledger system,          (iii) project management, which allows users to create work breakdown          structure, schedule dates and resource assignments for project, record          project and task status, and create reports to monitor project          progress, (iv) resource management, which allows users to assign          resources to projects based on skills and availability, and create          reports to monitor and manage resource utilization, (v) engagement          management, which allows users to create billing terms and conditions          for a client, and create reports to monitor and manage engagement          billing, (vi) opportunity management, which allows users to track

                                       2

         customers/prospects, sales opportunities and sales activities, and          forecast sales by various criteria, and (vii) marketing campaign          management, which allows users to create marketing campaigns, track          campaign effectiveness, and manage marketing lists.

2.       GRANT OF RIGHTS.",,0,,0
train,CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,0,4,7173,9301,273,"to monitor and manage engagement          billing, (vi) opportunity management, which allows users to track

                                       2

         customers/prospects, sales opportunities and sales activities, and          forecast sales by various criteria, and (vii) marketing campaign          management, which allows users to create marketing campaigns, track          campaign effectiveness, and manage marketing lists.

2.       GRANT OF RIGHTS.

2.1      HOSTING SOFTWARE LICENSE. Subject to the terms and conditions of this          Agreement, Changepoint hereby grants to Corio a fee-bearing,          irrevocable, nonexclusive, nontransferable (except in accordance with          Section 14.1 of this Agreement) license in the Territory to (i)          reproduce the Software in machine executable object code format only          for installation on the Corio Servers; (ii) install multiple copies of          the Software on Corio's Servers which will be made remotely accessible          to Corio's Customers for their internal business purposes, (iii) permit          limited access to and use of the Software by Customers through Corio          Servers solely for such Customer's internal business purposes; (iv)          sublicense an unlimited number of Customers to access and use the          Software only through the installation on Corio Servers solely for such          Customer's internal business purposes; and (v) use Changepoint's tools          and utilities, if any, subject to any restrictions placed on the          Changepoint by third party software providers and payment of any          applicable fees required by such third parties, to configure, integrate          and manage the Software. Corio shall not authorize Customers to          download or reproduce the Software for use except as necessary in          connection with the Corio Services. Except as specifically authorized          by this Agreement, no license is granted under this Agreement to Corio          to distribute the Software to its Customers or for use other than as          part of the Corio Services.",Irrevocable Or Perpetual License | License Grant | Non-Transferable License | Unlimited/All-You-Can-Eat-License,4,Irrevocable Or Perpetual License | License Grant | Non-Transferable License | Unlimited/All-You-Can-Eat-License,4
train,ImineCorp_20180725_S-1_EX-10.5_11275970_EX-10.5_Distributor Agreement,0,0,0,2326,345,"EXHIBIT 10.5 NON-EXCLUSIVE DISTRIBUTOR AGREEMENT This Non-Exclusive Distributor Agreement (the ""Agreement"") is made and entered into as of this 19th day of July 2018, by and between iMine Corporation, (hereinafter referred to as ""JRVS"") and SUNWAI Technology, a Taiwanese company, with its principal office at 6th Floor, No. 258, Section 3, Nanjing East Road, Songshan District, Taipei 10051 (hereinafter referred to as the ""Distributor""). RECITAL WHEREAS, Distributor desires to be, a nonexclusive distributor of JRVS for certain cryptocurrency mining rig products; JRVS wishes to sell its products through Distributor on a continuing basis on the terms and conditions set forth below. AGREEMENT NOW, THEREFORE, in consideration of the mutual agreements and covenants, JRVS and the Distributor agree as follows: 1. DEFINITIONS 1.1 ""Confidential Information"" of a party shall mean any information disclosed by that party to the other party pursuant to this Agreement which is in written, graphic, machine readable or other tangible form. Confidential Information may also include oral information disclosed by one party to the other pursuant to this Agreement. 1.2 ""Customers"" shall mean the purchasers of the Products whose principal offices and operations are located in the Territory. 1.3 ""iMine Products"" shall mean those Products known as cryptocurrency mining rigs and its parts and components, as JRVS and the Distributor shall maintain and modify from time to time. 1.4 ""House Accounts"" shall mean those Customers in the Territory who purchase Products directly from JRVS. 1.5 ""Non-standard Products"" shall mean those Products that are not standard mining rigs that require special testing, packaging or otherwise to be modified as requested by the Distributor and approved by JRVS in writing. 1.6 ""Proprietary Rights"" shall mean all rights in the Products and JRVS's Confidential Information, including, but not limited to, patents, copyrights, trademarks, trade names, know-how, show-how, and trade secrets, irrespective of whether such rights arise under U.S. or international intellectual property, unfair competition or trade secret laws. 1.7 ""Products"" shall mean the products offered by JRVS for sale to the Distributor; the Products shall include iMine cryptocurrency mining rigs and its parts and components. ",Agreement Date | Document Name | Parties,6,Agreement Date | Document Name | Parties,6
