split,contract_title,paragraph_index,category,present,answer_count,answer_starts_raw,answer_texts
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Affiliate License-Licensee,0,0,[],[]
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Affiliate License-Licensor,0,0,[],[]
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Agreement Date,1,1,[263],"[""7th day of September, 1999.""]"
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Anti-Assignment,1,2,"[32572, 45980]","[""In  the  event  either  party  (a)  becomes                   adjudicated insolvent,  (b) discontinues its business, (c) has                   voluntary of  involuntary  bankruptcy  proceedings  instituted                   against  it, or (d) makes an  assignment  for the  benefit  of                   creditors, the other party shall be entitled to terminate this                   Agreement effective immediately upon written notice."", ""No  assignment  of this  Agreement  or any  right                   accruing  hereunder  shall be made by the Distributor in whole                   or in part,  without the prior written consent of the Company,                   which  consent  shall  not  be  unreasonably  withheld.""]"
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Audit Rights,0,0,[],[]
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Cap On Liability,0,0,[],[]
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Change Of Control,0,0,[],[]
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Competitive Restriction Exception,0,0,[],[]
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Covenant Not To Sue,1,1,[42793],"[""During the Term of this Agreement and                   for three  years  thereafter,  the  Distributor  (on behalf of                   itself and each of its affiliates) agrees not to commence,  or                   provide any  information to or otherwise  assist any person or                   entity in  connection  with,  any suit,  action or  proceeding                   contesting the ownership,  validity or  enforceability  of any                   patent,  copyright,  trademark,  trade name or other propriety                   right owned by or licensed to the Company,  whether  currently                   existing or hereinafter invented, developed or acquired unless                   required to by court order.""]"
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Document Name,1,1,[44],"[""DISTRIBUTOR AGREEMENT""]"
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Effective Date,1,2,"[5268, 31058]","[""The term of this  Agreement  shall be ten (10)                            years (the \""Term\"")  which shall  commence on the date                            upon which the Company  delivers to  Distributor  the                            last Sample, as defined  hereinafter."", ""Unless  earlier   terminated   otherwise  provided                   therein,  this  Agreement,  subject to the  commencement  date                   established  in Section 1.3,  shall be effective  immediately.""]"
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Exclusivity,1,3,"[1854, 2112, 12390]","[""The Company appoints the Distributor as an  exclusive  distributor  of Products in the Market,  subject to the terms and conditions of this Agreement."", ""Company  hereby   appoints                            Distributor as Company's exclusive distributor within                            the Market and grants to  Distributor  the  exclusive                            right  to sell and  distribute  Products  within  the                            Market,   and   Distributor   hereby   accepts   such                            appointment  and such grant,  in accordance  with the                            terms and conditions of this  Agreement."", ""The  Distributor  shall  not order or                   purchase Products from any source other than the Company.""]"
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Expiration Date,1,1,[5268],"[""The term of this  Agreement  shall be ten (10)                            years (the \""Term\"")  which shall  commence on the date                            upon which the Company  delivers to  Distributor  the                            last Sample, as defined  hereinafter.""]"
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Governing Law,1,1,[52061],"[""This Agreement is to be construed according to the laws          of the State of Illinois.""]"
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Insurance,1,1,[41736],"[""Company will carry a reasonable                   amount of product  liability  insurance  through a  reasonably                   acceptable  products liability insurance company and will name                   the  Distributor  as an additional  insured under that policy.                   Company  will make  reasonable  efforts  to  procure a policy,                   which is non-cancelable, except upon thirty (30) days, advance                   notice to the Distributor.""]"
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Ip Ownership Assignment,0,0,[],[]
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Irrevocable Or Perpetual License,0,0,[],[]
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Joint Ip Ownership,0,0,[],[]
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,License Grant,1,2,"[2112, 3756]","[""Company  hereby   appoints                            Distributor as Company's exclusive distributor within                            the Market and grants to  Distributor  the  exclusive                            right  to sell and  distribute  Products  within  the                            Market,   and   Distributor   hereby   accepts   such                            appointment  and such grant,  in accordance  with the                            terms and conditions of this  Agreement."", ""The Company  hereby grants the  Distributor                            the right to do business  and use the name  \""Electric                            City of  Illinois\""  or a  similar  variation  thereof                            (collectively   the   \""Names\"")  for  use  under  this                            Agreement.""]"
train,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,Liquidated Damages,0,0,[],[]
